name,artist,album,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_popularity
All For Us - from the HBO Original Series Euphoria,Labrinth,All For Us,10hMM5nsZQf66ldBlgWBfG,0.348,0.652,3,-7.145,1,0.0931,0.0165,0.000264,0.33,0.172,70.956,192987,4,81
"I Choose - From The Netflix Original Film ""The Willoughbys""",Alessia Cara,I Choose,13QIjo2iGBgl56mNDjJOet,0.66,0.631,0,-6.464,1,0.0764,0.386,0.0,0.16,0.416,138.007,217348,3,81
Drama Queen,Alessia Cara,In The Meantime,13RFBaODKzfZz3bSp9RmL6,0.798,0.46,0,-8.335,0,0.136,0.18,5.97e-06,0.0693,0.712,130.025,181379,4,81
Dress,Charlotte Sands,Dress,19VgR6RNUxPlZdQm08CZIs,0.807,0.438,5,-9.596,1,0.182,0.028,0.0,0.454,0.793,114.994,143500,4,59
Not Today,Alessia Cara,The Pains Of Growing,1BGIZCaDu29MK8DsykL7Hb,0.76,0.462,6,-6.04,1,0.123,0.0972,5.29e-06,0.0933,0.169,111.906,156547,4,81
I Love You Always Forever,Donna Lewis,Now in a Minute,1PEqh7awkpuepLBSq8ZwqD,0.744,0.453,5,-11.977,1,0.0348,0.627,0.421,0.0898,0.122,103.773,239960,4,56
Lover,Taylor Swift,Lover,1dGr1c8CrMLDpV6mPbImSI,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,221307,4,100
I Love You Always Forever,Betty Who,I Love You Always Forever,1p6rk9R8SCum97WnvGNt6O,0.532,0.613,0,-7.64,1,0.0576,0.326,0.0,0.292,0.493,106.081,222957,4,61
Bluebird,Alessia Cara,In The Meantime,1w1UFvNdHZZLhozS2Ysdub,0.697,0.403,10,-9.764,1,0.0368,0.68,0.0,0.126,0.717,107.945,194393,4,81
Unboxing Intro,Alessia Cara,In The Meantime,1wnRsXo9tSvj60Vbc6C7A2,0.502,0.701,0,-6.679,0,0.405,0.448,0.0,0.329,0.974,50.369,41304,3,81
Bajo el mar,Michael Cruz,Canta y Cuenta: La Sirenita,23ayZRBySJIWyFrhHX7nOu,0.656,0.531,10,-11.065,1,0.0869,0.753,0.0,0.278,0.927,99.69,192507,4,36
A Little More,Alessia Cara,The Pains Of Growing,2IG5I8jLFkX8tFSOUH3DzT,0.478,0.21,4,-11.613,1,0.0364,0.801,0.0,0.152,0.23,96.308,146173,3,81
Yonaguni,Bad Bunny,Yonaguni,2JPLbjOn0wPCngEot2STUS,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,206710,4,98
Growing Pains,Alessia Cara,The Pains Of Growing,2N6bB5ck67CNILInUX1Ctw,0.353,0.753,1,-6.277,0,0.74,0.0833,0.0,0.383,0.432,191.142,193627,4,81
enough for you,Olivia Rodrigo,SOUR,2TOzTqQXNmR2zDJXihjZ2e,0.638,0.259,7,-10.706,1,0.0898,0.753,0.0,0.219,0.269,88.485,202827,4,92
I'd Rather Be Me,Barrett Wilbert Weed,I'd Rather Be Me,2UNt0aiJNNXbbtSN5Aag0x,0.668,0.79,4,-3.326,1,0.12,0.084,0.0,0.203,0.806,139.94,170640,4,63
Wildflowers,Maddie Poppe,Whirlwind,2VQzy5hIet7TpNop2MSFgN,0.739,0.529,2,-6.514,1,0.0375,0.0669,0.0,0.377,0.529,126.027,182813,4,44
Find My Boy,Alessia Cara,In The Meantime,2rmf4QaSE174hUEObAxLpw,0.636,0.552,10,-6.412,1,0.121,0.239,1.73e-06,0.132,0.712,159.906,192051,4,81
"Tchaikovsky: Swan Lake, Op. 20, Act II: No. 10, Scene. Moderato",Pyotr Ilyich Tchaikovsky,Tchaikovsky: Swan Lake,2xizRhme7pYeITbH1NLLGt,0.136,0.164,4,-18.756,0,0.0364,0.911,0.916,0.109,0.071,58.303,166867,4,77
After Midnight,Sam Creighton,After Midnight,35AzqWrY78E3sHcb3bSZSG,0.343,0.549,8,-6.688,1,0.112,0.356,0.00019,0.0924,0.498,84.522,205176,4,30
Levitating,Dua Lipa,Future Nostalgia,39LLxExYz6ewLAcYrzQQyP,0.695,0.884,6,-2.278,0,0.0753,0.0561,0.0,0.213,0.914,103.014,203808,4,94
Sparkle - movie ver.,RADWIMPS,Your Name.,3A4FRzgve9BjfKbvVXRIFO,0.372,0.426,11,-8.421,1,0.0339,0.687,0.00784,0.109,0.287,123.993,537653,4,73
Keep the Beat,Lin-Manuel Miranda,Vivo (Original Motion Picture Soundtrack),3BhpY0zIbTbZt5twFz0t1P,0.705,0.79,7,-6.886,1,0.0463,0.0393,5.97e-06,0.0808,0.38,108.007,153692,4,77
